trace_number,ffid,sx,sy,gx,gy
808,5,2853.333,0,1050,0
809,5,2853.333,0,1100,0
810,5,2853.333,0,1150,0
811,5,2853.333,0,1200,0
812,5,2853.333,0,1250,0
813,5,2853.333,0,1300,0
814,5,2853.333,0,1350,0
815,5,2853.333,0,1400,0
816,5,2853.333,0,1450,0
817,5,2853.333,0,1500,0
818,5,2853.333,0,1550,0
819,5,2853.333,0,1600,0
820,5,2853.333,0,1650,0
821,5,2853.333,0,1700,0
822,5,2853.333,0,1750,0
823,5,2853.333,0,1800,0
824,5,2853.333,0,1850,0
825,5,2853.333,0,1900,0
826,5,2853.333,0,1950,0
827,5,2853.333,0,2000,0
828,5,2853.333,0,2050,0
829,5,2853.333,0,2100,0
830,5,2853.333,0,2150,0
831,5,2853.333,0,2200,0
832,5,2853.333,0,2250,0
833,5,2853.333,0,2300,0
834,5,2853.333,0,2350,0
835,5,2853.333,0,2400,0
836,5,2853.333,0,2450,0
837,5,2853.333,0,2500,0
838,5,2853.333,0,2550,0
839,5,2853.333,0,2600,0
840,5,2853.333,0,2650,0
841,5,2853.333,0,2700,0
842,5,2853.333,0,2750,0
843,5,2853.333,0,2800,0
844,5,2853.333,0,2850,0
845,5,2853.333,0,2900,0
846,5,2853.333,0,2950,0
847,5,2853.333,0,3000,0
848,5,2853.333,0,3050,0
849,5,2853.333,0,3100,0
850,5,2853.333,0,3150,0
851,5,2853.333,0,3200,0
852,5,2853.333,0,3250,0
853,5,2853.333,0,3300,0
854,5,2853.333,0,3350,0
855,5,2853.333,0,3400,0
856,5,2853.333,0,3450,0
857,5,2853.333,0,3500,0
858,5,2853.333,0,3550,0
859,5,2853.333,0,3600,0
860,5,2853.333,0,3650,0
861,5,2853.333,0,3700,0
862,5,2853.333,0,3750,0
863,5,2853.333,0,3800,0
864,5,2853.333,0,3850,0
865,5,2853.333,0,3900,0
866,5,2853.333,0,3950,0
867,5,2853.333,0,4000,0
868,5,2853.333,0,4050,0
869,5,2853.333,0,4100,0
870,5,2853.333,0,4150,0
871,5,2853.333,0,4200,0
872,5,2853.333,0,4250,0
873,5,2853.333,0,4300,0
874,5,2853.333,0,4350,0
875,5,2853.333,0,4400,0
876,5,2853.333,0,4450,0
877,5,2853.333,0,4500,0
878,5,2853.333,0,4550,0
879,5,2853.333,0,4600,0
880,5,2853.333,0,4650,0
881,5,2853.333,0,4700,0
882,5,2853.333,0,4750,0
883,5,2853.333,0,4800,0
884,5,2853.333,0,4850,0
885,5,2853.333,0,4900,0
886,5,2853.333,0,4950,0
887,5,2853.333,0,5000,0
888,5,2853.333,0,5050,0
889,5,2853.333,0,5100,0
890,5,2853.333,0,5150,0
891,5,2853.333,0,5200,0
892,5,2853.333,0,5250,0
893,5,2853.333,0,5300,0
894,5,2853.333,0,5350,0
895,5,2853.333,0,5400,0
896,5,2853.333,0,5450,0
897,5,2853.333,0,5500,0
898,5,2853.333,0,5550,0
899,5,2853.333,0,5600,0
900,5,2853.333,0,5650,0
901,5,2853.333,0,5700,0
902,5,2853.333,0,5750,0
903,5,2853.333,0,5800,0
904,5,2853.333,0,5850,0
905,5,2853.333,0,5900,0
906,5,2853.333,0,5950,0
907,5,2853.333,0,6000,0
908,5,2853.333,0,6050,0
909,5,2853.333,0,6100,0
910,5,2853.333,0,6150,0
911,5,2853.333,0,6200,0
912,5,2853.333,0,6250,0
913,5,2853.333,0,6300,0
914,5,2853.333,0,6350,0
915,5,2853.333,0,6400,0
916,5,2853.333,0,6450,0
917,5,2853.333,0,6500,0
918,5,2853.333,0,6550,0
919,5,2853.333,0,6600,0
920,5,2853.333,0,6650,0
921,5,2853.333,0,6700,0
922,5,2853.333,0,6750,0
923,5,2853.333,0,6800,0
924,5,2853.333,0,6850,0
925,5,2853.333,0,6900,0
926,5,2853.333,0,6950,0
927,5,2853.333,0,7000,0
928,5,2853.333,0,7050,0
929,5,2853.333,0,7100,0
930,5,2853.333,0,7150,0
931,5,2853.333,0,7200,0
932,5,2853.333,0,7250,0
933,5,2853.333,0,7300,0
934,5,2853.333,0,7350,0
935,5,2853.333,0,7400,0
936,5,2853.333,0,7450,0
